;;;;standardní balení;;;;balení 1;;;;balení 2;;;;;nákup;;;;;;
druh;nazev;e-shop;poznamka;std.balení g;MOC sáčku;VOC sáčku;%;g;cena MO;cena VO;%;g;cena MO;cena VO;%;;kg;standard;vzorek;bal-1;bal-2;TAO %;obch.%
Černý Assam;Assámský černý čaj - CTC;;;100;120;78;53,9;250;250;190;31,6;500;450;350;28,6;;500;60;10;140;265;100;35
Černý Assam;Yogi čaj;;;80;170;133;27,9;200;410;320;28,2;500;980;770;27,3;;1150;102;10;240;590;66,7;21,8
Černý Assam;Assam Mangalam - Základní;;;100;160;117;36,8;200;300;230;30,5;500;690;540;27,8;;800;90;10;175;415;77,8;26,9
Černý Assam;Assam Mangalam - TOPAZ;;;50;210;163;28,9;200;780;620;25,9;500;1900;1520;25;;2300;125;10;475;1165;68;22,4
Černý Assam;Assam Doomni;;;40;250;185;35,2;200;1150;880;30,7;500;2720;2170;25,4;;3300;142;10;675;1665;76,1;26
Černý Assam;Assam Mokalbari;;;40;250;185;35,2;200;1150;880;30,7;500;2650;2170;22,2;;3300;142;10;675;1665;76,1;26
Černý Assam;Assám Duflating;;;40;190;149;27,6;200;910;700;30;500;2090;1710;22,3;;2600;114;10;535;1315;66,7;21,6
Čaje Kenya;Tembo FOP;;;80;200;100;100;250;390;280;39,3;500;590;430;37,3;;500;50;10;140;265;300;50
Čaje Kenya;Dusk;;;80;150;100;50;250;320;270;18,6;500;590;430;37,3;;500;50;10;135;265;200;33,4
Čaje Kenya;ASILI green;;;50;180;70;157,2;200;490;220;122,8;500;850;530;60,4;;500;35;10;110;265;414,3;61,2
Černý Taiwan;Assam no.8;;;50;390;286;36,4;100;750;570;31,6;250;1790;1390;28,8;;4200;220;10;435;1065;77,3;26,7
Černý Taiwan;Ruan Zhi Hong Cha;;;40;250;164;52,5;100;550;400;37,5;250;1320;970;36,1;;2900;126;10;305;740;98,5;34,4
Ostatní;Jade - Ruby 18;x;Sun Moon Lake;30;390;240;62,5;100;920;1550;-40,7;;;;;;5000;160;10;515;15;143,8;38,5
Ostatní;Hong Yun - Ruby 21;x;Purple Buds - Sun Moon Lake;30;450;318;41,6;100;1350;1010;33,7;;;;;;3200;106;10;335;15;324,6;29,4
Ostatní;Shan Cha - Wild Camelia;x;Amigo - Sun Moon Lake;50;270;270;0;100;530;530;0;;;;;;1600;90;10;175;15;200;0
